CODUSU,COMPONENTE,Edad,Genero,adulto_equiv,ad_equiv_hogar
TQRMNORUYHLMSMCDEIJAH00719364,1,65,2,0.67,0.67
TQRMNOSRQHJNSOCDEIJAH00802640,3,9,2,0.69,0.69
TQRMNOSWQHJLQRCDEIJAH00796254,1,59,1,1.0,2.0
TQRMNOSWQHJLQRCDEIJAH00796254,2,55,1,1.0,2.0
TQRMNOTTTHKNLSCDEIIAD00780051,1,44,1,1.0,1.0
TQRMNOQTWHMKMPCDEIIAD00801881,1,62,2,0.67,1.5
TQRMNOQTWHMKMPCDEIIAD00801881,2,67,1,0.83,1.5
TQRMNOQPVHKOPLCDEIJAH00786447,1,28,1,1.02,2.42
TQRMNOQPVHKOPLCDEIJAH00786447,2,24,2,0.76,2.42
TQRMNOQPVHKOPLCDEIJAH00786447,3,6,2,0.64,2.42
TQRMNOQVTHLMQNCDEIJAH00719541,2,34,1,1.0,2.56
TQRMNOQVTHLMQNCDEIJAH00719541,3,6,2,0.64,2.56
TQRMNOQVTHLMQNCDEIJAH00719541,4,4,1,0.55,2.56
TQRMNOQVTHLMQNCDEIJAH00719541,5,1,2,0.37,2.56
TQRMNORUXHLMQOCDEIJAH00719554,1,52,1,1.0,4.32
TQRMNORUXHLMQOCDEIJAH00719554,3,31,1,1.0,4.32
TQRMNORUXHLMQOCDEIJAH00719554,4,23,2,0.76,4.32
TQRMNORUXHLMQOCDEIJAH00719554,5,14,1,0.96,4.32
TQRMNORUXHLMQOCDEIJAH00719554,6,5,2,0.6,4.32
TQRMNORYVHMNQMCDEIJAH00802638,1,46,1,1.0,3.05
TQRMNORYVHMNQMCDEIJAH00802638,2,38,2,0.77,3.05
TQRMNORYVHMNQMCDEIJAH00802638,3,17,2,0.77,3.05
TQRMNOVQQHKNQMCDEIJAH00802641,1,25,2,0.76,1.78
TQRMNOVQQHKNQMCDEIJAH00802641,2,27,1,1.02,1.78
TQRMNORYVHMNQMCDEIJAH00802638,4,3,1,0.51,3.05
TQRMNOTTQHKNLSCDEIIAD00780089,1,50,1,1.0,2.27
TQRMNOTTQHKNLSCDEIIAD00780089,2,49,2,0.76,2.27
TQRMNORQRHLKPLCDEIJAH00718738,1,31,1,1.0,1.0
TQRMNOTTQHKNLSCDEIIAD00780089,3,3,1,0.51,2.27
TQRMNOUPYHJOLOCDEIIAD00801876,1,39,1,1.0,1.69
TQRMNOUPYHJOLOCDEIIAD00801876,2,9,2,0.69,1.69
TQRMNOPUVHJKLQCDEIIAD00801878,1,27,1,1.02,1.02
